CCN(C(=O)[C@H](O)CCc1ccccc1)[C@H](CO)c1ccccc1,ZINC000922091582,EFADRN
CCOCCONC(=O)N1CCO[C@H](c2cccc(OC(F)F)c2)C1,ZINC000364304872,FEADRN
CN(CCCc1ccccc1)C(=O)C1CS(=O)(=O)C1,ZINC000630745647,CDADRN
CC[C@@H](OC(=O)c1sccc1C1CC1)C(=O)OC,ZINC000762803551,CFADRN
Cc1ccc(C(=O)NC[C@H]2CCN2C(=O)c2ccn(C)c2)c(F)c1F,ZINC000952225492,EEADRN
O=C(C1=NO[C@@H](c2ccccc2)C1)N1CCN2CCOC[C@@H]2C1,ZINC000754465965,DDADRN
C#Cc1ccc(C(=O)N2CCC[C@H](CNC(=O)C(C)(C)C)C2)cn1,ZINC000732968543,EEEDRN
C[C@@H]1C[C@@H]1CNC(=O)c1c(Cl)cccc1S(C)(=O)=O,ZINC000349823116,DEADRN
C[C@H](C(=O)N(C)[C@@H](CCO)c1ccccc1)c1cnn(C)c1,ZINC000535049836,DEADRN
O=S(=O)(c1ccc(F)c(F)c1F)N1CCO[C@@H](C2CC2)C1,ZINC000368882041,DDADRN
C=CCN(CCOC)C(=O)/C(C)=C/c1ccccn1,ZINC000846992586,CEEDRN
COCCN1CC(N(C)C(=O)c2cc(Cl)sc2Cl)C1,ZINC001042923776,DEADRN
CCc1cnc(CN(C)C(=O)/C=C\C2CC2)s1,ZINC000492054925,CFADRN
Cc1ccccc1C(F)(F)C(=O)N1CC(=O)N[C@H]2CCCC[C@@H]21,ZINC001647121089,DEADRN
CCc1ccccc1C(=O)N[C@@H](C)CNC(=O)CC[C@H]1CCCO1,ZINC001386660679,EEADRN
CC(=O)N[C@@H]1CC[C@@H](C)N(C(=O)c2ccc3c(c2)OCCO3)C1,ZINC001017884611,DDADRN
Cc1ccc(CNC(=O)[C@@H](C)CC(F)F)c(N2CCOCC2)c1,ZINC000412164492,EFADRN
CONC(=O)N[C@@H]1CCCc2sc(Cl)cc21,ZINC000292502495,CFADRN
Cc1c(C(=O)N[C@@H]2CCN(C(C)C)C2=O)cnc2ccccc12,ZINC000361038427,DEADRN
Cc1nc(C2(NCc3ccc(N4CCOCC4)c(F)c3)CCCC2)no1,ZINC000066991508,FFCDRN
O=C(N[C@H]1CCN(c2ccc(Cl)c(F)c2)C1=O)[C@@H]1CCCOCC1,ZINC000332970717,FFADRN
C[C@H](C(=O)N1CC[C@@H](NC(=O)[C@@H]2CC2(F)F)C1)c1ccccc1,ZINC000940293681,DEADRN
CN1CCN(C(=O)c2ccc(Cl)nn2)c2ccccc21,ZINC000111461546,CEADRN
COCCNc1ccc(CNC(=O)[C@H](C)N2CCc3ccccc3C2)cc1,ZINC000117980502,FFADRN
C=C(C)CN(CC)C(=O)COc1ccc2c(c1)OCCC2=O,ZINC000416948454,DEEDRN
O=C(Cn1cnc2ccccc2c1=O)N1CCSC2(CCOCC2)C1,ZINC000186828522,FDADRN
C#C[C@H](NC(=O)NC/C=C/c1ccccc1)C(C)C,ZINC000798533698,CFEDRN
O=C(COC[C@@H]1CCOC1)N1CCc2cccc(F)c21,ZINC000492775857,CDADRN
COCCN(CCF)C(=O)Cn1ccc2ccccc2c1=O,ZINC000855594601,DDADRN
CN(CCOc1ccccc1)C(=O)[C@@]1(C)CCCS1(=O)=O,ZINC000905141757,DDADRN
O=S(=O)(CCN1Cc2cccc(F)c2C1)c1ccc(F)cc1,ZINC000459756429,DFADRN
Cc1ccc([C@@H](C)N(C)C(=O)Nc2nnn(C)c2C)c(C)c1,ZINC000417523504,DFADRN
CCN(CC(=O)N[C@@H](C)C(=O)OC)c1ccccc1,ZINC000049423341,CDADRN
COc1cc2c(cc1OC)CCN(Cc1nc(COC(C)C)no1)CC2,ZINC000929343285,FFADRN
C[C@H](NC(=O)N1CCN(Cc2cccc(F)c2)CC1)c1ccncc1F,ZINC000512263915,FFADRN
CC(=O)N1CCN(c2cccc(NCc3ccc4c(c3)nnn4C)c2)CC1,ZINC000527113266,FEADRN
CC[C@@H](OC)C(=O)N[C@@H]1CCc2ccc(Cl)cc21,ZINC000863640094,CFADRN
CS(=O)(=O)C[C@@H]1CCCCN1C(=O)c1cncc(Cl)c1,ZINC000456199210,DDADRN
CC[C@@H]1CCCN1C(=O)CCn1c(=O)n(C)c2ccccc21,ZINC000340554917,DEADRN
C=CCOc1ccc(CN[C@@H](CCO)C(F)(F)F)cc1,ZINC000886371182,CFEDRN
CCC(CC)(CNC(=O)c1ccc2c(c1)CCN2C)OC,ZINC000817056839,CFADRN
O=C(C1CC1)N1CCCO[C@H](CNCc2nsc3ccccc23)C1,ZINC001078310481,EEADMN
CCC(=O)CCCOC(=O)C[C@](C)(O)c1ccccc1,ZINC000778341654,CFADRN
COc1ccccc1SCC(=O)N[C@@H]1COC(C)(C)C1,ZINC000617051754,CEADRN
Cc1ccc(COCC(=O)N2CCOc3ccccc3C2)cc1,ZINC000621698027,DFADRN
O=C1CCCCN1c1ccc(CNC(=O)C(F)(F)C2(O)CCCC2)cc1,ZINC000785932291,FFADRN
CCOC(=O)c1noc(CN(CC)c2ccccc2C)n1,ZINC000313783087,CFADRN
COc1cccc([C@@H]2CN(C[C@H](O)CC[C@@H](O)c3ccccc3)CCO2)c1,ZINC000929845520,FFADRO
CC[C@@H](C)N(CCC(=O)c1ccc(F)cc1)CC(=O)OC,ZINC000337254568,CFADRN
Cc1cncn1CC(=O)N[C@@H]1CC[C@@H]1c1ccccc1,ZINC000628114975,CEADRN
O=C(NCCCC(=O)N1CCc2ccccc2[C@H]1CO)[C@@H]1CC=CCC1,ZINC000467498117,FEADRN
CCc1nnc(N[C@H]2CCN(c3c(F)cccc3F)C2)nc1CC,ZINC000428146355,EEADRN
C=CCCN1CCO[C@H]2CCN(C(=O)c3cccc(=O)[nH]3)C[C@H]21,ZINC001074201455,DDEDRN
CC[C@@H](C)C(=O)N1CCC[C@@H](C(=O)NCCc2ccc(F)cc2)C1,ZINC000299604318,EFADRN
